,País/Continente,Total,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
1,Total,757918,97406,92752,78138,60947,52938,50480,52216,47019,45642,51692,59871,68817
2,África,29041,2436,1848,1927,1802,1529,1825,1882,4560,2323,3468,2714,2727
3,África do Sul,3012,363,203,103,85,38,442,474,323,488,151,227,115
4,Angola,21606,1639,1113,1208,1501,940,966,1037,3910,1528,3052,2299,2413
5,Cabo Verde,2407,221,286,212,103,301,326,274,187,153,115,106,123
6,Nigéria,233,22,7,35,0,18,8,8,44,91,0,0,0
7,Outros,1783,191,239,369,113,232,83,89,96,63,150,82,76
8,América Central,3546,267,487,292,327,131,341,365,195,109,273,284,475
9,Costa Rica,600,28,93,46,52,16,71,76,10,7,82,32,87
10,Panamá,293,4,60,79,16,19,8,9,13,12,25,17,31
11,Porto Rico,290,43,26,11,26,16,6,6,13,1,21,39,82
12,Outros,2363,192,308,156,233,80,256,274,159,89,145,196,275
13,América do Norte,185680,22308,21452,19147,16439,16175,17453,18185,7638,6671,8444,13120,18648
14,Canadá,13828,1863,1629,1491,1087,1336,1353,1071,621,732,677,1032,936
15,Estados Unidos,157880,19117,18295,16196,14113,13443,14819,15683,6325,5042,6928,11229,16690
16,México,13972,1328,1528,1460,1239,1396,1281,1431,692,897,839,859,1022
17,América do Sul,122387,20200,17108,16375,9654,5217,7126,7645,6083,8914,7563,6937,9565
18,Argentina,88248,14642,13262,12788,7044,3602,4954,5316,4523,5335,6203,5047,5532
19,Bolívia,557,41,90,14,143,41,23,24,62,27,71,1,20
20,Chile,16005,2763,1439,948,749,394,910,976,638,2177,552,1329,3130
21,Colômbia,3163,558,735,686,362,109,119,128,51,52,91,127,145
22,Equador,1588,147,163,143,415,49,152,163,75,175,33,4,69
23,Guiana Francesa,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Paraguai,960,152,86,75,34,66,33,35,57,68,171,83,100
25,Peru,2956,448,356,255,202,296,249,267,64,398,133,123,165
26,República da Guiana,2,0,0,1,0,0,0,0,1,0,0,0,0
27,Suriname,2,0,2,0,0,0,0,0,0,0,0,0,0
28,Uruguai,5035,386,494,753,522,382,381,409,495,582,200,155,276
29,Venezuela,3871,1063,481,712,183,278,305,327,117,100,109,68,128
30,Ásia,18125,2342,1475,1727,1094,1522,1420,1409,1370,1968,1115,1405,1278
31,China,6833,1380,325,355,543,730,757,812,526,37,566,424,378
32,Japão,4425,491,550,668,298,296,309,217,509,404,291,211,181
33,República da Coréia,2106,109,189,243,162,149,103,111,19,40,61,531,389
34,Outros,4761,362,411,461,91,347,251,269,316,1487,197,239,330
35,Europa,383954,48406,46838,37574,30838,27093,21577,21939,26013,23534,30014,34778,35350
36,Alemanha,51520,6174,5842,5612,4191,3405,2836,2897,4001,3741,4129,4467,4225
37,Áustria,2839,704,174,504,142,119,122,130,230,226,149,162,177
38,Bélgica,8070,366,662,422,307,576,142,152,266,428,985,2129,1635
39,Dinamarca,6360,509,802,499,233,146,240,258,858,165,918,963,769
40,Espanha,31241,3459,3210,3313,2910,1862,1738,1436,2173,2835,2654,2723,2928
41,Finlândia,4272,605,486,153,131,866,322,345,331,46,259,399,329
42,França,82249,8402,7754,7973,8584,9413,6406,6619,5311,4745,4766,6364,5912
43,Grécia,3645,114,785,383,691,169,34,36,102,379,302,356,294
44,Holanda,9054,1456,717,843,556,539,343,368,575,382,959,1193,1123
45,Hungria,1223,96,260,107,26,79,113,121,268,0,59,51,43
46,Inglaterra,46158,7104,8877,4299,3726,2541,2284,2451,2579,2982,3078,2664,3573
47,Irlanda,2106,305,438,194,181,122,115,122,99,144,134,113,139
48,Itália,40954,6331,5539,4174,2818,1753,1478,1586,3238,2387,2994,4383,4273
49,Noruega,5815,605,809,481,207,202,331,355,444,133,882,733,633
50,Polônia,1881,167,171,425,72,93,84,90,223,53,202,164,137
51,Portugal,56400,7093,6307,4767,4133,3746,3833,3731,4128,3972,4255,4716,5719
52,Suécia,5302,934,627,580,176,129,327,351,415,121,735,476,431
53,Suíça,11812,2158,1144,1317,1120,714,329,354,401,487,1082,1435,1271
54,Outros,13053,1824,2234,1528,634,619,500,537,371,308,1472,1287,1739
55,Oceania,7707,1041,1982,440,429,323,409,439,648,771,416,328,481
56,Austrália,6380,915,1779,353,310,236,354,380,334,706,342,267,404
57,Nova Zelândia,1327,126,203,87,119,87,55,59,314,65,74,61,77
58,Oriente Médio,7394,406,1554,653,363,928,329,352,502,1352,357,305,293
59,Arábia Saudita,81,0,0,0,0,1,4,4,27,0,42,0,3
60,Iraque,13,3,10,0,0,0,0,0,0,0,0,0,0
61,Israel,6142,345,1431,481,335,922,185,198,367,1342,186,173,177
62,Outros,1158,58,113,172,28,5,140,150,108,10,129,132,113
63,Países não especificados,84,0,8,3,1,20,0,0,10,0,42,0,0
